iter	Passed	Remaining
0	2	1460
1	5	1296
2	7	1308
3	10	1305
4	12	1282
5	15	1254
6	17	1240
7	19	1228
8	22	1237
9	25	1234
10	27	1224
11	29	1213
12	32	1220
13	34	1210
14	37	1211
15	40	1211
16	42	1207
17	45	1209
18	47	1212
19	50	1203
20	52	1203
21	55	1201
22	57	1201
23	60	1204
24	63	1203
25	65	1200
26	68	1204
27	71	1197
28	73	1191
29	75	1186
30	78	1184
31	81	1186
32	83	1187
33	86	1187
34	90	1195
35	92	1194
36	95	1193
37	97	1188
38	100	1187
39	103	1184
40	105	1182
41	107	1177
42	110	1172
43	112	1167
44	115	1166
45	118	1165
46	120	1165
47	123	1162
48	126	1160
49	128	1158
50	131	1157
51	133	1154
52	136	1151
53	139	1149
54	141	1147
55	144	1145
56	147	1145
57	150	1143
58	152	1138
59	154	1135
60	157	1131
61	159	1127
62	161	1123
63	164	1123
64	167	1122
65	170	1119
66	172	1117
67	175	1114
68	177	1111
69	180	1109
70	183	1106
71	185	1102
72	187	1097
73	190	1094
74	192	1092
75	195	1089
76	198	1088
77	201	1089
78	203	1083
79	205	1080
80	208	1077
81	210	1074
82	213	1072
83	216	1072
84	218	1068
85	221	1066
86	224	1067
87	227	1065
88	229	1060
89	232	1057
90	234	1053
91	237	1055
92	240	1052
93	242	1048
94	245	1045
95	248	1044
96	250	1040
97	252	1037
98	255	1034
99	258	1034
100	261	1031
101	263	1029
102	266	1027
103	268	1023
104	271	1020
105	273	1017
106	276	1014
107	278	1012
108	281	1008
109	283	1006
110	286	1003
111	288	1000
112	291	997
113	293	994
114	296	992
115	299	990
116	302	990
117	305	988
118	308	986
119	310	982
120	312	979
121	315	976
122	317	973
123	320	970
124	322	968
125	325	966
126	327	962
127	329	958
128	332	956
129	334	952
130	336	948
131	339	946
132	341	942
133	343	939
134	346	936
135	348	933
136	351	930
137	353	927
138	356	9241139	358	9211140	360	9191141	363	9151142	365	9121143	368	9101144	371	9081145	373	9051146	375	9021147	378	8991148	380	8961149	383	893150	392	906
